CustomerID,Age,Gender,TenureMonths,MonthlyCharges,TotalCharges,SupportCalls,SatisfactionScore,ContractType,PaymentMethod,InternetUsageGB,AnnualIncome,Region,Churn
CUST100057,49.0,Female,24,113.51,,1,4,Two Year,Credit Card,76.3,90452.13,North,0
CUST100058,42.0,Male,37,68.52,2537.14,0,1,Month-to-Month,Debit Card,135.35,54657.67,West,0
CUST100059,18.0,Female,10,59.28,713.94,3,2,Two Year,UPI,95.46,25696.55,West,0
CUST100060,19.0,Female,9,68.28,533.62,4,2,Month-to-Month,Credit Card,57.51,55236.42,East,1
CUST100061,23.0,Male,48,67.69,3327.0,3,2,Month-to-Month,UPI,65.71,62185.82,North,1
CUST100062,58.0,Female,25,103.54,2479.02,1,2,One Year,UPI,64.67,31313.91,North,0
CUST100063,44.0,Male,12,83.79,841.33,0,3,One Year,UPI,109.93,49471.45,South,0
CUST100064,32.0,Female,6,50.64,337.07,1,3,One Year,UPI,157.84,35858.08,West,0
CUST100065,24.0,Male,50,80.74,3988.43,2,3,Two Year,Credit Card,85.19,22070.83,North,0
CUST100066,38.0,Male,29,85.19,2380.35,1,2,Month-to-Month,UPI,78.72,66231.09,North,0
CUST100067,26.0,Female,43,78.06,3519.2,0,4,One Year,Debit Card,143.28,27244.62,West,0
CUST100068,41.0,Male,4,107.64,482.11,1,4,One Year,UPI,75.39,58893.72,West,0
CUST100069,49.0,Female,10,116.7,1200.62,2,2,Month-to-Month,UPI,80.01,32913.83,South,0
CUST100070,47.0,Other,32,74.98,2493.66,1,2,One Year,Credit Card,,38306.7,West,0
CUST100071,48.0,Male,40,42.38,1760.25,6,4,One Year,Credit Card,42.19,34515.74,East,0
CUST100072,50.0,Male,16,45.65,741.25,2,4,Two Year,UPI,163.4,44221.45,East,0
CUST100073,25.0,Male,27,70.77,1936.88,3,4,Month-to-Month,UPI,76.61,53348.49,East,0
CUST100074,18.0,Female,36,93.63,3415.64,1,4,Month-to-Month,UPI,49.29,62803.69,West,0
CUST100075,30.0,Female,24,85.48,2195.21,1,3,Month-to-Month,Credit Card,78.34,21630.44,North,0
CUST100076,49.0,Female,22,68.11,1355.73,1,5,One Year,Net Banking,64.92,52654.3,South,0
CUST100077,46.0,Male,31,83.82,2527.07,3,3,One Year,Credit Card,116.5,47604.72,South,0
CUST100078,30.0,Male,12,95.94,1177.89,4,1,Two Year,Debit Card,25.87,35454.78,East,1
CUST100079,56.0,Male,30,116.1,3401.46,1,3,Two Year,UPI,,35252.26,West,0
CUST100080,26.0,Male,17,58.62,1028.37,4,3,Two Year,UPI,87.42,68541.46,West,1
CUST100081,42.0,Male,25,65.48,1615.65,0,3,Two Year,Net Banking,91.35,60471.09,East,0
CUST100082,31.0,Female,16,69.04,1035.91,0,5,Month-to-Month,Debit Card,40.58,117640.53,East,0
CUST100083,,Male,9,90.72,919.94,1,1,Month-to-Month,Net Banking,80.1,28661.06,South,1
CUST100084,59.0,Female,5,77.73,450.71,0,3,Month-to-Month,UPI,28.6,38611.06,North,1
CUST100085,46.0,Female,67,44.82,3061.7,2,3,Month-to-Month,Credit Card,32.76,96863.02,South,1
CUST100086,,Female,22,66.08,1497.3,6,2,One Year,Debit Card,96.64,72902.04,North,0
CUST100087,49.0,Female,17,95.62,1524.95,0,3,One Year,Credit Card,23.69,56907.61,North,0
CUST100088,36.0,Male,62,43.19,2807.28,2,3,One Year,Debit Card,45.11,88363.04,East,0
CUST100089,34.0,Female,25,77.63,1934.61,3,4,Month-to-Month,UPI,74.72,,North,0
CUST100090,52.0,Male,52,106.89,5453.72,4,4,Month-to-Month,UPI,96.49,,North,1
CUST100091,48.0,Female,8,92.23,,3,3,One Year,Credit Card,107.23,51365.54,South,0
CUST100092,51.0,Male,8,111.7,784.58,0,4,One Year,Net Banking,44.65,57320.84,West,0
CUST100093,32.0,Other,13,65.59,820.75,3,3,Two Year,Credit Card,97.53,22621.05,South,0
CUST100094,40.0,Female,2,83.86,167.97,0,3,Month-to-Month,Debit Card,197.67,26138.48,West,0
CUST100095,26.0,Female,17,68.38,1200.54,0,3,Month-to-Month,Credit Card,104.01,87079.91,West,0
CUST100096,50.0,Male,18,,1334.97,3,4,Two Year,Debit Card,,36623.85,East,0
CUST100097,24.0,Female,9,90.78,893.05,1,1,One Year,UPI,144.16,18000.0,South,0
CUST100098,42.0,Female,25,33.69,827.38,2,3,Month-to-Month,Net Banking,30.17,30058.37,West,0
CUST100099,44.0,Female,25,81.35,2036.02,4,4,Month-to-Month,UPI,103.44,47483.03,West,0
CUST100100,42.0,Male,10,,557.8,4,4,Month-to-Month,Credit Card,,44926.61,East,0
CUST100101,37.0,Other,22,56.36,1247.24,2,3,One Year,UPI,,52406.63,North,0
CUST100102,39.0,Female,49,104.28,5161.68,1,2,One Year,Credit Card,86.76,48782.99,South,0
CUST100103,35.0,Female,20,71.85,1325.65,4,3,One Year,UPI,90.34,57814.23,South,0
CUST100104,37.0,Female,48,105.85,4978.63,1,4,Month-to-Month,UPI,87.35,58374.41,South,0
CUST100105,42.0,Male,30,31.91,1059.29,3,3,Two Year,Debit Card,43.81,37776.83,South,0
CUST100106,40.0,Male,9,65.04,505.59,1,3,Month-to-Month,Net Banking,56.07,37289.92,North,0
CUST100107,41.0,Male,12,37.72,589.05,2,4,Month-to-Month,UPI,68.83,81852.76,East,0
CUST100108,45.0,Male,15,72.39,1246.03,5,4,Month-to-Month,Credit Card,77.11,68637.54,West,0
CUST100109,52.0,Female,22,48.98,1051.22,2,5,Month-to-Month,UPI,80.06,79854.93,North,0
CUST100110,41.0,Male,19,89.3,1583.63,5,3,Month-to-Month,Credit Card,104.91,31787.89,East,0
CUST100111,19.0,Male,38,62.25,2256.58,2,3,Month-to-Month,Credit Card,48.13,58337.46,West,0
CUST100112,38.0,Male,7,55.15,324.97,2,4,Month-to-Month,UPI,107.79,80647.75,South,0
CUST100113,55.0,Male,13,92.02,1393.91,3,4,Two Year,Debit Card,22.47,34925.41,South,0
CUST100114,30.0,Female,17,71.5,1157.29,2,4,Month-to-Month,UPI,53.68,74020.57,East,0
CUST100115,46.0,Female,17,49.6,851.24,2,2,One Year,UPI,44.38,53494.96,West,0
CUST100116,28.0,Male,15,40.81,552.39,0,4,One Year,Debit Card,21.0,27662.29,South,0
CUST100117,61.0,Male,17,68.74,1133.06,2,3,Month-to-Month,UPI,74.51,69688.25,East,0
CUST100118,46.0,Female,17,58.69,1068.77,1,4,Month-to-Month,Credit Card,118.03,60712.37,East,0
CUST100119,43.0,Female,18,98.7,1810.87,2,3,Month-to-Month,Debit Card,65.96,44958.17,North,0
CUST100120,33.0,Female,24,81.87,1905.69,2,3,One Year,Net Banking,86.23,71254.25,North,0
CUST100121,23.0,Male,30,87.55,2706.09,0,5,Month-to-Month,Net Banking,,25802.03,East,0
CUST100122,36.0,Male,16,112.86,1719.03,0,4,One Year,Credit Card,49.83,30134.87,North,0
CUST100123,45.0,Male,39,47.92,1802.65,1,5,One Year,Debit Card,25.52,78953.97,South,0
CUST100124,41.0,Male,30,91.87,2588.29,2,4,Month-to-Month,Net Banking,43.24,40851.33,East,0
CUST100125,52.0,Female,35,41.37,1359.42,2,3,Month-to-Month,Net Banking,79.3,76402.19,West,0
CUST100126,51.0,Male,10,49.27,473.38,1,4,One Year,Credit Card,46.29,21886.39,East,0
CUST100127,36.0,Female,12,90.63,1175.45,3,3,Month-to-Month,UPI,130.65,36313.69,East,1
CUST100128,32.0,Male,15,99.5,1349.64,1,3,Month-to-Month,UPI,52.81,106894.0,East,1
CUST100129,35.0,Male,35,71.59,2514.59,2,3,Month-to-Month,Debit Card,31.49,52589.45,South,0
CUST100130,53.0,Female,38,78.99,3025.85,4,3,Two Year,UPI,54.24,66723.69,West,0
CUST100131,18.0,Male,40,57.44,2289.74,1,5,Month-to-Month,UPI,73.98,48521.82,West,0
CUST100132,43.0,Male,16,75.28,1249.57,1,3,One Year,UPI,122.9,46420.51,West,0
CUST100133,53.0,Female,72,57.58,,1,3,One Year,UPI,94.98,47476.59,South,0
CUST100134,41.0,Female,21,49.77,1118.17,2,1,Month-to-Month,Credit Card,61.25,60250.61,North,0
CUST100135,28.0,Female,4,98.01,511.56,0,5,Month-to-Month,Net Banking,81.46,32468.54,North,0
CUST100136,44.0,Male,42,28.74,1261.53,2,3,Month-to-Month,Credit Card,148.25,18000.0,East,0
CUST100137,36.0,Female,25,68.6,1606.93,2,4,Two Year,Debit Card,153.65,178738.23,North,0
CUST100138,26.0,Male,27,75.42,2211.36,2,3,Two Year,UPI,84.34,54647.93,North,0
CUST100139,46.0,Female,14,71.52,1079.52,1,4,Month-to-Month,Net Banking,116.01,28364.28,East,1
CUST100140,50.0,Female,15,78.1,1118.21,5,3,Month-to-Month,Net Banking,88.22,40220.07,South,0
CUST100141,29.0,Female,67,59.37,4040.53,2,5,Month-to-Month,Debit Card,86.3,18000.0,North,0
CUST100142,34.0,Male,22,69.17,1612.31,0,3,Two Year,UPI,18.79,45130.85,West,0
CUST100143,40.0,Female,72,37.08,2738.12,1,4,Month-to-Month,Credit Card,86.19,57364.62,South,0
CUST100144,49.0,Male,28,95.72,2660.47,1,1,Month-to-Month,Debit Card,58.47,27590.26,East,0
CUST100145,33.0,Male,19,96.93,1891.12,2,3,Month-to-Month,Debit Card,48.14,,West,1
CUST100146,22.0,Male,17,69.14,1032.86,3,3,Month-to-Month,Credit Card,33.68,71624.65,South,0
CUST100147,40.0,Male,24,72.26,1843.7,0,5,One Year,Credit Card,48.23,98492.29,South,0
CUST100148,51.0,Female,60,56.45,3367.67,3,3,Two Year,Credit Card,58.61,47614.79,South,0
CUST100149,40.0,Male,24,78.4,1798.44,3,4,One Year,Net Banking,51.97,59188.07,North,0
CUST100150,37.0,Female,18,20.0,420.26,1,3,One Year,UPI,,35440.24,East,0
CUST100151,54.0,,44,120.76,5437.33,0,5,Month-to-Month,Credit Card,47.79,24601.09,South,0
CUST100152,41.0,Male,7,80.34,546.27,1,5,Month-to-Month,Credit Card,92.89,49445.66,East,0
CUST100153,30.0,Male,67,84.12,5691.01,3,5,One Year,Net Banking,85.66,70875.48,West,0
CUST100154,37.0,Male,45,95.04,4298.07,2,3,One Year,Debit Card,210.46711963321383,76559.43,East,0
CUST100155,28.0,Male,33,90.41,3020.04,0,3,Month-to-Month,Credit Card,39.66,25416.35,North,0
CUST100156,29.0,Male,55,57.35,3357.86,3,2,Month-to-Month,Net Banking,298.12891307041,49407.49,South,0
CUST100157,30.0,Male,33,41.7,1322.41,3,4,Month-to-Month,UPI,76.45,62829.84,East,0
CUST100158,47.0,Male,9,52.38,651.92,2,5,Month-to-Month,Net Banking,121.4,81960.32,East,0
CUST100159,39.0,Male,21,43.91,903.92,2,2,Month-to-Month,UPI,70.68,41063.41,West,0
CUST100160,46.0,Female,11,81.51,855.56,4,2,Month-to-Month,UPI,64.15,44994.94,South,0
CUST100161,35.0,Male,8,58.76,368.94,1,4,Month-to-Month,UPI,122.18,47995.83,East,0
CUST100162,45.0,Male,36,86.19,3195.12,1,5,Two Year,Debit Card,66.39,52185.91,North,0
CUST100163,18.0,Male,51,,4336.42,1,2,Month-to-Month,Debit Card,47.25,22719.41,North,0
CUST100164,45.0,Female,64,20.0,1261.37,3,4,Two Year,UPI,59.09,69637.22,West,0
CUST100165,26.0,Female,7,206.92206861174478,505.03,0,3,Month-to-Month,UPI,86.27,69714.69,South,0
CUST100166,19.0,Male,11,90.44,1090.12,0,4,Month-to-Month,Debit Card,108.51,70025.88,East,0
CUST100167,38.0,Male,41,,2282.65,5,3,Month-to-Month,UPI,35.01,47949.93,East,0
CUST100168,22.0,Female,54,62.83,3357.1,0,3,Month-to-Month,Credit Card,,26865.89,North,0
CUST100169,45.0,Female,17,61.75,1095.74,4,3,Month-to-Month,Credit Card,20.79,62063.93,South,0
CUST100170,23.0,Male,4,64.45,247.42,2,2,Month-to-Month,Credit Card,60.76,69023.38,North,0
CUST100171,45.0,Female,28,145.0,4051.84,3,1,Two Year,Debit Card,101.86,34613.79,South,1
CUST100172,18.0,Male,18,61.13,943.66,2,2,Month-to-Month,UPI,43.11,87772.44,East,1
CUST100173,26.0,Male,34,233.4723519548751,2342.82,5,3,Month-to-Month,Net Banking,21.91,79449.65,South,0
CUST100174,61.0,Male,33,80.14,2740.41,1,3,Month-to-Month,UPI,110.76,146080.76,South,0
CUST100175,24.0,Female,36,83.78,3047.56,4,4,Month-to-Month,UPI,101.75,69935.4,East,0
CUST100176,19.0,Male,63,58.17,3820.32,3,5,Month-to-Month,Debit Card,101.04,21880.27,North,0
CUST100177,33.0,Male,27,123.32,3301.23,4,4,Two Year,UPI,47.88,52241.56,West,1
CUST100178,40.0,Male,7,88.14,684.55,0,4,Month-to-Month,Credit Card,171.11,28317.38,West,0
CUST100179,27.0,Female,27,72.53,1939.8,2,4,Month-to-Month,UPI,113.21,19288.15,West,0
CUST100180,,,12,57.45,796.83,2,4,Month-to-Month,UPI,27.73,57532.17,North,0
CUST100181,29.0,Female,28,76.21,2064.66,3,2,Month-to-Month,Credit Card,40.07,63264.44,West,0
CUST100182,72.0,Female,10,40.6,406.72,1,4,Month-to-Month,Net Banking,162.12,58325.53,East,0
CUST100183,36.0,Female,15,,1411.77,3,3,Month-to-Month,Net Banking,43.47,48152.96,South,0
CUST100184,20.0,Female,10,101.3,927.65,4,3,Month-to-Month,UPI,166.41,41773.82,West,1
CUST100185,22.0,Male,20,66.41,1222.45,1,3,Month-to-Month,UPI,28.29,81032.12,West,0
CUST100186,40.0,Female,48,101.83,4964.67,0,2,Month-to-Month,Credit Card,98.11,26076.09,South,0
CUST100187,46.0,,31,93.02,3038.66,4,1,Month-to-Month,Net Banking,53.45,63804.79,West,0
CUST100188,41.0,Female,40,68.29,2617.88,0,3,Month-to-Month,,296.74,31038.43,East,0
CUST100189,,Female,17,52.81,940.83,1,2,One Year,Debit Card,66.15,36260.17,South,0
CUST100190,23.0,Female,17,78.25,1422.67,1,3,Month-to-Month,UPI,18.96,19597.08,East,0
CUST100191,38.0,Female,13,89.1,1224.89,1,2,Month-to-Month,Debit Card,67.91,25914.67,North,0
CUST100192,46.0,Female,55,72.18,3940.06,3,4,Two Year,Net Banking,59.11,55459.77,East,0
CUST100193,38.0,Female,19,79.12,1514.53,1,5,One Year,Credit Card,167.29,63317.5,South,0
CUST100194,52.0,Male,18,81.26,1487.7,2,4,Month-to-Month,UPI,91.44,80713.56,North,0
CUST100195,35.0,Male,11,79.18,1011.86,0,2,One Year,UPI,124.04,112363.45,East,1
CUST100196,58.0,Female,33,47.87,1580.95,1,4,One Year,Credit Card,95.85,46091.32,South,0
CUST100197,18.0,Female,9,70.89,544.22,3,3,Month-to-Month,Debit Card,81.37,,West,0
CUST100198,40.0,Other,72,111.62,8117.98,4,4,One Year,Net Banking,45.35,28927.24,South,0
CUST100199,58.0,Male,15,87.03,1236.97,0,4,Two Year,Net Banking,88.29,145282.63,East,0
CUST100200,46.0,Male,12,77.4,909.04,2,3,Month-to-Month,Debit Card,64.7,61725.93,East,0
CUST100201,48.0,Male,23,73.28,1754.79,4,3,Month-to-Month,Debit Card,32.34,27452.63,East,0
CUST100202,40.0,Female,9,40.82,363.77,3,3,Two Year,Net Banking,234.94,39316.26,West,0
CUST100203,39.0,Female,12,76.83,869.55,0,2,One Year,Debit Card,91.43,34117.75,West,0
CUST100204,18.0,Male,12,113.35,1245.54,2,4,Month-to-Month,UPI,225.0,27184.63,West,0
CUST100205,64.0,Female,40,76.11,3047.65,1,3,Two Year,Debit Card,112.3,80670.44,South,0
CUST100206,,Female,4,105.05,461.19,2,3,One Year,UPI,27.39,58034.16,East,0
CUST100207,,Female,45,95.17,4408.85,2,3,Month-to-Month,Debit Card,19.44,39235.38,South,0
CUST100208,51.0,Female,17,49.05,678.42,2,5,Month-to-Month,UPI,42.39,23652.45,West,0
CUST100209,45.0,Male,3,56.43,247.95,0,3,One Year,UPI,258.93,75484.38,East,0
CUST100210,32.0,Male,17,118.24,2073.64,4,4,Month-to-Month,UPI,196.12,50834.62,West,1
CUST100211,22.0,Female,21,75.34,1435.72,3,3,Two Year,Credit Card,109.41,46097.97,South,0
CUST100212,59.0,Male,32,,1219.65,3,3,Month-to-Month,Debit Card,94.19,154070.04,South,1
CUST100213,34.0,Male,19,44.91,945.73,0,3,One Year,Credit Card,73.69,,North,0
CUST100214,30.0,Male,32,89.73,2938.9,1,3,Month-to-Month,Credit Card,49.23,33238.52,North,1
CUST100215,36.0,Male,36,106.3,,0,4,Month-to-Month,UPI,72.09,36285.43,East,1
CUST100216,46.0,Female,44,44.58,2008.38,2,2,Two Year,UPI,172.74,,North,0
CUST100217,47.0,Male,72,73.17,5273.36,5,3,Month-to-Month,Credit Card,98.8,52519.2,North,0
CUST100218,25.0,Female,7,94.18,630.92,2,4,One Year,UPI,70.28,,North,0
CUST100219,33.0,Other,16,122.36,1888.13,0,3,One Year,UPI,47.97,80252.64,South,0
CUST100220,43.0,Male,37,20.0,869.82,5,3,One Year,Net Banking,83.19,79910.49,South,0
CUST100221,42.0,Male,33,70.25,2377.76,3,4,One Year,Debit Card,52.11,28385.22,East,0
CUST100222,41.0,Female,54,66.69,3546.32,4,4,Month-to-Month,Debit Card,54.81,28505.41,South,0
CUST100223,37.0,Male,34,82.2,2735.3,1,5,Two Year,Debit Card,87.82,28491.27,West,0
CUST100224,46.0,Male,58,51.58,2958.65,3,3,Month-to-Month,Credit Card,55.89,68742.86,North,1
CUST100225,52.0,Female,14,93.56,1327.4,1,3,Month-to-Month,UPI,67.27,81503.65,West,1
CUST100226,36.0,Female,18,102.45,1777.39,2,3,Two Year,UPI,69.41,20529.93,East,0
CUST100227,34.0,Male,18,104.14,1875.1,3,3,Month-to-Month,UPI,77.27,69747.98,West,0
CUST100228,18.0,Female,72,144.87,10604.41,2,4,One Year,UPI,116.66,42888.55,North,0
CUST100229,19.0,Male,29,95.89,2935.6,2,5,Month-to-Month,Debit Card,44.11,74508.95,East,0
CUST100230,51.0,Other,72,68.99,4967.88,2,3,Month-to-Month,UPI,44.68,45932.4,West,0
CUST100231,45.0,Male,6,78.09,398.84,3,4,One Year,Credit Card,41.84,,South,0
CUST100232,19.0,Female,36,58.92,2307.56,2,5,Month-to-Month,Debit Card,65.73,70293.78,North,0
CUST100233,46.0,Female,13,75.58,984.56,1,2,Month-to-Month,UPI,18.53,,South,0
CUST100234,44.0,Female,27,55.68,1308.82,1,2,One Year,UPI,29.23,35926.93,West,1
CUST100235,51.0,Female,13,77.73,1108.08,0,5,Month-to-Month,Net Banking,70.47,52124.86,North,0
CUST100236,32.0,,46,110.7,4921.38,6,4,Month-to-Month,UPI,24.14,52222.29,North,0
CUST100237,,Male,38,65.65,2423.17,4,3,Month-to-Month,Debit Card,87.73,31046.37,North,0
CUST100238,41.0,Male,22,70.98,1590.07,0,2,Two Year,Debit Card,47.6,45737.98,North,1
CUST100239,68.0,Female,25,68.27,1632.18,0,3,Month-to-Month,Net Banking,106.86,42148.82,South,0
CUST100240,41.0,Female,15,79.79,1176.03,3,1,Month-to-Month,UPI,97.69,73493.05,West,1
CUST100241,47.0,Male,32,65.63,2124.19,3,4,Month-to-Month,Credit Card,53.95,28042.48,East,0
CUST100242,43.0,Male,7,76.06,560.88,3,4,Two Year,UPI,24.48,73383.12,West,0
CUST100243,38.0,Male,4,86.06,319.98,2,3,Month-to-Month,Credit Card,57.46,53554.19,North,0
CUST100244,39.0,,10,55.44,627.56,3,3,Month-to-Month,Credit Card,16.67,70755.23,East,0
CUST100245,32.0,Male,72,52.86,3680.13,1,4,Two Year,Net Banking,100.8,20784.44,West,0
CUST100246,30.0,Male,56,101.35,5692.11,1,2,Month-to-Month,Credit Card,61.11,124041.58,West,1
CUST100247,28.0,Female,53,49.33,2565.66,3,2,Month-to-Month,UPI,188.09,92352.74,West,0
CUST100248,23.0,Male,30,22.76,680.61,3,5,One Year,Credit Card,233.3,33787.24,South,0
CUST100249,45.0,Male,41,84.38,3388.6,1,2,Two Year,Credit Card,144.34,56315.02,South,0
CUST100250,37.0,Female,10,62.3,588.35,2,4,One Year,Debit Card,42.89,23317.97,East,0
CUST100251,34.0,Male,7,59.04,301.77,1,3,One Year,Credit Card,129.75,74150.13,West,0
CUST100252,50.0,Female,17,37.79,618.93,3,4,Month-to-Month,Net Banking,97.35,75118.89,South,0
CUST100253,42.0,Female,18,107.57,2092.74,1,4,Month-to-Month,Debit Card,31.57,25116.48,North,0
CUST100254,47.0,Female,25,96.97,2320.94,0,4,Month-to-Month,Net Banking,106.76,69247.35,North,0
CUST100255,54.0,Male,31,80.33,2666.73,2,4,Month-to-Month,UPI,74.17,24776.35,North,0
CUST100256,40.0,Male,37,34.08,1256.69,2,1,Month-to-Month,Debit Card,126.46,19363.06,South,0
CUST100257,33.0,Male,44,40.71,1710.5,1,4,Two Year,,65.53,49054.13,West,0
CUST100258,42.0,Female,41,57.09,2384.74,2,4,Month-to-Month,Credit Card,110.96,30293.38,North,0
CUST100259,40.0,Male,13,43.04,514.34,4,4,Two Year,Debit Card,115.06,66114.0,East,0
CUST100260,49.0,Male,13,64.47,881.29,6,2,Month-to-Month,Credit Card,119.26,103173.89,West,0
CUST100261,26.0,Male,28,238.27550320426639,1939.84,3,4,Two Year,Net Banking,122.6,25213.69,North,0
CUST100262,41.0,Male,19,89.5,1705.97,5,4,Month-to-Month,UPI,101.17,23110.93,South,0
CUST100263,40.0,Female,11,97.64,1051.87,6,3,Two Year,Credit Card,39.2,24125.77,South,0
CUST100264,37.0,Female,27,57.33,,0,5,Month-to-Month,Net Banking,48.16,64994.69,South,0
CUST100265,37.0,Female,13,64.04,872.07,1,4,One Year,Debit Card,26.33,,North,0
